Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
lang3,org.apache.commons.lang3,Range,192.0,6.0,6.0,2.0,0.7716049382716049,0.07142857142857142
lang3,org.apache.commons.lang3,LongRange,6.0,0.0,4.0,4.0,1.3333333333333333,1.0
lang3,org.apache.commons.lang3,DoubleRange,3.0,0.0,3.0,3.0,1.5,1.0
lang3,org.apache.commons.lang3,ObjectUtils,1378.0,0.0,53.0,39.0,0.9807692307692307,0.7358490566037735
lang3,org.apache.commons.lang3,Null,1.0,0.0,2.0,2.0,2.0,1.0
lang3,org.apache.commons.lang3,ArchUtils,105.0,0.0,15.0,5.0,0.9285714285714286,0.26666666666666666
lang3,org.apache.commons.lang3,NumberRange,0.0,0.0,1.0,1.0,0.0,0.0
lang3,org.apache.commons.lang3,NotImplementedException,18.0,8.0,4.0,4.0,0.7857142857142857,0.5
lang3,org.apache.commons.lang3,Conversion,903.0,0.0,43.0,30.0,0.9761904761904762,0.6744186046511628
lang3,org.apache.commons.lang3,RuntimeEnvironment,10.0,0.0,5.0,2.0,0.0,0.4
lang3,org.apache.commons.lang3,AppendableJoiner,54.0,0.0,8.0,7.0,0.7058823529411765,0.16666666666666666
lang3,org.apache.commons.lang3,Builder,11.0,7.0,2.0,2.0,0.8,0.3333333333333333
lang3,org.apache.commons.lang3,EnumUtils,231.0,0.0,22.0,22.0,0.9880952380952381,0.9545454545454546
lang3,org.apache.commons.lang3,ThreadUtils,579.0,563.0,28.0,10.0,0.9411764705882353,0.2857142857142857
lang3,org.apache.commons.lang3,AlwaysTruePredicate,3.0,0.0,3.0,3.0,0.0,1.0
lang3,org.apache.commons.lang3,NamePredicate,0.0,0.0,1.0,1.0,-0.0,0.0
lang3,org.apache.commons.lang3,ThreadGroupPredicate,0.0,0.0,1.0,1.0,0.0,-1.0
lang3,org.apache.commons.lang3,ThreadIdPredicate,0.0,0.0,1.0,1.0,-0.0,0.0
lang3,org.apache.commons.lang3,ThreadPredicate,0.0,0.0,1.0,1.0,0.0,-1.0
lang3,org.apache.commons.lang3,StringUtils,29161.0,0.0,242.0,127.0,0.9610995850622407,0.3884297520661157
lang3,org.apache.commons.lang3,CharUtils,276.0,0.0,24.0,17.0,1.0260869565217392,0.7083333333333334
lang3,org.apache.commons.lang3,CharRange,94.0,17.0,5.0,5.0,0.8024691358024691,0.2631578947368421
lang3,org.apache.commons.lang3,CharacterIterator,4.0,0.0,2.0,2.0,0.5,0.4
lang3,org.apache.commons.lang3,BitField,130.0,107.0,11.0,1.0,0.7647058823529411,0.0
lang3,org.apache.commons.lang3,SystemUtils,253.0,0.0,23.0,18.0,1.0425454545454544,0.7391304347826086
lang3,org.apache.commons.lang3,Functions,561.0,0.0,34.0,29.0,0.0,0.8529411764705882
lang3,org.apache.commons.lang3,FailableBiConsumer,0.0,0.0,1.0,1.0,0.0,-1.0
lang3,org.apache.commons.lang3,FailableBiFunction,0.0,0.0,1.0,1.0,0.0,-1.0
lang3,org.apache.commons.lang3,FailableBiPredicate,0.0,0.0,1.0,1.0,0.0,-1.0
lang3,org.apache.commons.lang3,FailableCallable,0.0,0.0,1.0,1.0,0.0,-1.0
lang3,org.apache.commons.lang3,FailableConsumer,0.0,0.0,1.0,1.0,0.0,-1.0
lang3,org.apache.commons.lang3,FailableFunction,0.0,0.0,1.0,1.0,0.0,-1.0
lang3,org.apache.commons.lang3,FailablePredicate,0.0,0.0,1.0,1.0,0.0,-1.0
lang3,org.apache.commons.lang3,FailableRunnable,0.0,0.0,1.0,1.0,0.0,-1.0
lang3,org.apache.commons.lang3,FailableSupplier,0.0,0.0,1.0,1.0,0.0,-1.0
lang3,org.apache.commons.lang3,RandomStringUtils,885.0,780.0,31.0,4.0,0.9681818181818183,0.08888888888888889
lang3,org.apache.commons.lang3,ArrayFill,45.0,0.0,10.0,10.0,0.0,1.0
lang3,org.apache.commons.lang3,RandomUtils,370.0,334.0,21.0,5.0,0.9523809523809524,0.1724137931034483
lang3,org.apache.commons.lang3,Charsets,3.0,0.0,3.0,3.0,0.0,1.0
lang3,org.apache.commons.lang3,ArrayUtils,70500.0,0.0,376.0,235.0,0.9915555555555555,0.45478723404255317
lang3,org.apache.commons.lang3,BooleanUtils,1081.0,0.0,47.0,38.0,0.9037267080745341,0.48936170212765956
lang3,org.apache.commons.lang3,RegExUtils,210.0,0.0,21.0,4.0,0.0,0.19047619047619047
lang3,org.apache.commons.lang3,CachedRandomBits,0.0,0.0,1.0,1.0,-0.0,0.0
lang3,org.apache.commons.lang3,IntegerRange,6.0,0.0,4.0,4.0,1.3333333333333333,1.0
lang3,org.apache.commons.lang3,Streams,163.0,95.0,9.0,9.0,0.8452380952380952,0.4090909090909091
lang3,org.apache.commons.lang3,ArrayCollector,14.0,13.0,5.0,5.0,0.9,0.8333333333333334
lang3,org.apache.commons.lang3,FailableStream,20.0,0.0,2.0,1.0,0.5454545454545454,0.0
lang3,org.apache.commons.lang3,CharSetUtils,28.0,0.0,8.0,2.0,0.0,0.25
lang3,org.apache.commons.lang3,Strings,1000.0,965.0,38.0,22.0,0.9740740740740741,0.43478260869565216
lang3,org.apache.commons.lang3,Builder,4.0,2.0,2.0,2.0,0.6666666666666666,0.5
lang3,org.apache.commons.lang3,CiStrings,21.0,0.0,7.0,7.0,0.0,1.0
lang3,org.apache.commons.lang3,CsStrings,21.0,0.0,7.0,7.0,0.0,1.0
lang3,org.apache.commons.lang3,CharSet,7.0,0.0,2.0,2.0,1.0,0.25
lang3,org.apache.commons.lang3,SerializationUtils,35.0,34.0,8.0,4.0,0.875,0.4444444444444444
lang3,org.apache.commons.lang3,ClassLoaderAwareObjectInputStream,0.0,0.0,1.0,1.0,-0.0,0.0
lang3,org.apache.commons.lang3,Validate,1431.0,0.0,54.0,54.0,0.9962264150943396,0.9259259259259259
lang3,org.apache.commons.lang3,StringEscapeUtils,171.0,0.0,19.0,19.0,1.0046296296296295,0.9473684210526315
lang3,org.apache.commons.lang3,CsvEscaper,0.0,0.0,1.0,1.0,0.0,0.0
lang3,org.apache.commons.lang3,CsvUnescaper,0.0,0.0,1.0,1.0,0.0,0.0
lang3,org.apache.commons.lang3,SystemProperties,19701.0,0.0,199.0,3.0,0.9999198332531666,0.01507537688442211
lang3,org.apache.commons.lang3,ClassUtils,2077.0,2074.0,63.0,33.0,0.9928977272727273,0.4461538461538462
lang3,org.apache.commons.lang3,ClassLoaderUtils,15.0,0.0,6.0,4.0,1.0,0.6666666666666666
lang3,org.apache.commons.lang3,ArraySorter,45.0,0.0,10.0,10.0,0.0,1.0
lang3,org.apache.commons.lang3,CharEncoding,1.0,0.0,2.0,2.0,2.0,1.0
lang3,org.apache.commons.lang3,ClassPathUtils,21.0,0.0,7.0,6.0,0.0,0.8571428571428571
lang3,org.apache.commons.lang3,SerializationException,6.0,0.0,4.0,4.0,1.3333333333333333,1.0
lang3,org.apache.commons.lang3,AnnotationUtils,66.0,0.0,12.0,5.0,1.0454545454545454,0.4166666666666667
lang3,org.apache.commons.lang3,LocaleUtils,120.0,0.0,16.0,9.0,0.9809523809523809,0.5625
lang3,org.apache.commons.lang3,SyncAvoid,0.0,0.0,0.0,0.0,0.0,-1.0
lang3,org.apache.commons.lang3,CharSequenceUtils,36.0,0.0,9.0,8.0,0.875,0.6666666666666666
lang3,org.apache.commons.lang3.compare,ObjectToStringComparator,1.0,0.0,2.0,2.0,2.0,1.0
lang3,org.apache.commons.lang3.compare,ComparableUtils,112.0,34.0,8.0,8.0,0.3684210526315789,0.4
lang3,org.apache.commons.lang3.compare,ComparableCheckBuilder,30.0,15.0,5.0,1.0,0.4444444444444444,0.0
lang3,org.apache.commons.lang3.stream,Streams,679.0,455.0,16.0,15.0,0.8714285714285714,0.3488372093023256
lang3,org.apache.commons.lang3.stream,ArrayCollector,14.0,13.0,5.0,5.0,0.9,0.8333333333333334
lang3,org.apache.commons.lang3.stream,EnumerationSpliterator,0.0,0.0,1.0,1.0,-0.0,0.0
lang3,org.apache.commons.lang3.stream,FailableStream,20.0,0.0,2.0,1.0,0.5454545454545454,0.0
lang3,org.apache.commons.lang3.stream,LangCollectors,61.0,56.0,7.0,5.0,0.9090909090909091,0.3333333333333333
lang3,org.apache.commons.lang3.stream,SimpleCollector,10.0,5.0,1.0,1.0,0.8,0.0
